Employee_ID,Department,Job_Role,Age,Gender,Date_of_Joining,Tenure_Years,Salary,Performance_Rating,Training_Hours,Engagement_Score,Satisfaction_Score,Training_Need,Turnover,Hire_Time_Days
1,HR,Recruitment Manager,24,Female,2021-05-16,3,107013,4,30,79,80,No,No,28
2,Finance,Financial Analyst,40,Male,2021-12-22,2,52429,5,21,94,95,Yes,No,19
3,Operations,Operations Manager,52,Male,2015-07-05,9,86372,4,25,99,90,Yes,No,45
4,HR,Recruitment Manager,25,Male,2019-03-23,5,52225,4,50,100,50,No,No,36
5,IT,Data Scientist,26,Male,2023-07-08,1,114384,2,20,69,84,No,Yes,35
6,Finance,Financial Analyst,28,Female,2023-02-01,1,112255,3,50,67,85,No,No,49
7,IT,Data Scientist,50,Male,2021-09-16,3,118156,4,25,96,65,No,Yes,26
8,Sales,Sales Representative,52,Male,2019-12-24,4,51773,2,14,62,55,No,No,48
9,Marketing,Marketing Analyst,35,Female,2022-12-05,1,115981,3,33,91,92,No,Yes,54
10,Sales,Sales Representative,59,Female,2020-11-28,3,64953,2,6,77,57,Yes,No,25
11,Marketing,Digital Marketer,25,Male,2024-09-29,0,59183,2,7,96,90,Yes,Yes,55
12,IT,Software Engineer,47,Male,2018-07-15,6,88514,1,7,98,51,Yes,No,26
13,Operations,Operations Manager,52,Male,2023-05-29,1,48006,1,39,87,89,Yes,No,19
14,IT,Software Engineer,41,Female,2017-03-10,7,97156,2,8,92,79,Yes,No,59
15,HR,HR Generalist,38,Female,2019-08-13,5,101632,5,15,73,99,Yes,No,25
16,IT,Data Scientist,55,Female,2017-03-13,7,55363,5,33,71,50,No,No,51
17,Finance,Financial Analyst,44,Female,2016-06-07,8,72890,2,40,60,79,Yes,No,17
18,Finance,Financial Analyst,30,Male,2019-01-30,5,103154,3,44,78,93,No,No,55
19,Finance,Financial Analyst,41,Female,2023-11-18,0,94318,1,5,98,62,No,Yes,29
20,Operations,Operations Manager,46,Female,2017-04-27,7,44134,4,49,96,76,Yes,Yes,19
21,Marketing,Marketing Analyst,50,Female,2020-02-05,4,113584,5,5,62,81,No,No,44
22,Sales,Sales Representative,34,Male,2016-07-01,8,57107,1,30,86,70,Yes,No,60
23,Sales,Sales Executive,34,Male,2016-01-28,8,119738,2,24,77,94,Yes,Yes,40
24,Operations,Operations Manager,23,Female,2020-06-08,4,99372,1,21,68,91,No,Yes,24
25,Marketing,Marketing Analyst,24,Male,2022-11-07,1,66966,3,40,80,73,Yes,No,59
26,Finance,Financial Analyst,51,Female,2024-05-05,0,88817,5,16,73,74,No,Yes,24
27,Marketing,Digital Marketer,43,Female,2016-07-13,8,52282,3,44,62,52,No,Yes,52
28,Marketing,Digital Marketer,47,Male,2020-11-02,3,78457,1,35,75,53,No,Yes,48
29,Operations,Operations Manager,41,Female,2022-03-16,2,83059,3,31,66,56,No,No,36
30,Sales,Sales Representative,29,Female,2020-03-13,4,95906,1,24,81,97,Yes,No,55
31,Finance,Financial Analyst,27,Male,2018-04-19,6,51097,2,19,63,74,Yes,Yes,50
32,Finance,Financial Analyst,50,Female,2024-03-21,0,116662,2,32,65,73,Yes,No,31
33,Finance,Financial Analyst,49,Male,2022-12-08,1,86991,1,9,61,83,No,No,27
34,Sales,Sales Representative,47,Female,2022-05-08,2,67162,1,18,99,59,Yes,Yes,39
35,Marketing,Marketing Analyst,28,Female,2023-09-09,1,59451,5,30,100,93,No,No,46
36,Operations,Operations Manager,53,Female,2019-04-02,5,66475,5,44,74,50,No,No,35
37,Marketing,Marketing Analyst,55,Male,2015-11-17,8,73670,5,14,84,87,No,No,45
38,Sales,Sales Executive,55,Male,2024-02-26,0,48697,2,13,62,69,Yes,No,43
39,Marketing,Marketing Analyst,31,Female,2015-01-22,9,88669,5,29,93,82,Yes,No,58
40,Finance,Financial Analyst,49,Male,2016-05-28,8,77966,5,43,86,80,No,No,29
41,Sales,Sales Executive,33,Female,2021-08-09,3,106434,5,21,81,54,No,No,34
42,HR,Recruitment Manager,46,Male,2014-11-03,9,61468,2,20,78,96,No,Yes,17
43,HR,Recruitment Manager,31,Female,2023-03-20,1,118900,1,48,69,72,No,Yes,44
44,HR,Recruitment Manager,25,Male,2020-06-27,4,101720,2,6,62,88,Yes,No,21
45,Operations,Operations Manager,34,Female,2018-12-20,5,104267,1,8,99,94,No,No,36
46,Operations,Operations Manager,40,Male,2020-05-08,4,90809,3,48,67,83,Yes,Yes,40
47,HR,Recruitment Manager,34,Female,2015-11-22,8,86734,1,7,62,81,No,No,48
48,Operations,Operations Manager,36,Male,2018-01-26,6,105852,5,31,92,69,Yes,Yes,51
49,HR,HR Generalist,28,Female,2024-06-22,0,48247,1,31,69,96,Yes,No,42
50,Operations,Operations Manager,23,Female,2018-08-04,6,82532,3,10,82,54,Yes,No,16
51,Marketing,Digital Marketer,33,Male,2018-11-17,5,70211,3,9,98,59,Yes,Yes,57
52,Operations,Operations Manager,22,Female,2017-03-30,7,88382,1,43,74,59,Yes,No,45
53,Marketing,Digital Marketer,30,Male,2024-01-22,0,67278,3,26,90,68,No,No,50
54,Operations,Operations Manager,33,Male,2022-06-10,2,53445,5,42,79,60,No,No,23
55,IT,Data Scientist,54,Male,2016-05-15,8,71019,2,23,83,76,Yes,No,53
56,Sales,Sales Representative,26,Male,2016-03-09,8,57304,4,24,95,76,Yes,No,34
57,Operations,Operations Manager,27,Male,2020-04-06,4,98302,3,45,93,53,No,No,41
58,Operations,Operations Manager,50,Male,2023-06-18,1,88705,3,35,65,61,Yes,No,50
59,Finance,Financial Analyst,50,Female,2023-02-22,1,64298,4,32,71,65,No,No,48
60,IT,Data Scientist,51,Male,2016-09-03,8,103345,2,23,60,94,No,No,15
61,IT,Data Scientist,29,Female,2019-12-13,4,111461,5,14,87,95,No,Yes,46
62,IT,Data Scientist,39,Male,2024-03-13,0,55837,3,47,62,50,No,No,52
63,Operations,Operations Manager,50,Male,2019-10-09,5,73109,3,23,72,88,Yes,Yes,31
64,Marketing,Digital Marketer,29,Male,2016-12-10,7,61437,1,31,78,68,Yes,No,55
65,IT,Software Engineer,48,Female,2024-02-18,0,76518,3,33,83,86,Yes,Yes,59
66,Sales,Sales Representative,47,Female,2020-06-24,4,58288,5,47,79,72,No,No,28
67,HR,Recruitment Manager,54,Female,2024-01-05,0,104581,1,33,79,59,No,Yes,54
68,IT,Software Engineer,44,Female,2018-04-11,6,91244,1,38,64,93,Yes,No,57
69,HR,HR Generalist,45,Male,2024-02-17,0,55224,5,5,77,90,No,No,29
70,IT,Data Scientist,34,Male,2024-10-25,0,96887,4,50,81,74,Yes,No,56
71,Operations,Operations Manager,31,Female,2019-09-18,5,59333,5,25,68,63,Yes,No,39
72,HR,Recruitment Manager,46,Male,2022-05-23,2,65715,4,18,97,95,Yes,No,17
73,IT,Software Engineer,33,Female,2016-05-18,8,47469,2,19,99,69,Yes,No,47
74,Marketing,Digital Marketer,48,Female,2021-05-14,3,47070,5,47,95,97,No,No,46
75,Marketing,Digital Marketer,35,Female,2020-03-19,4,74848,1,7,63,60,No,Yes,56
76,Sales,Sales Executive,26,Female,2024-08-11,0,69119,5,30,95,64,No,Yes,53
77,Sales,Sales Executive,42,Female,2018-12-09,5,110241,4,25,76,51,Yes,Yes,20
78,IT,Data Scientist,34,Male,2019-10-05,5,72935,3,24,93,74,No,No,60
79,IT,Software Engineer,41,Male,2017-12-12,6,41206,4,36,88,53,No,No,44
80,HR,HR Generalist,27,Male,2018-01-15,6,71607,1,14,86,63,No,No,42
81,Finance,Financial Analyst,24,Male,2017-12-30,6,72732,4,19,68,67,No,No,42
82,Sales,Sales Representative,56,Male,2015-05-19,9,78881,4,37,98,79,No,No,16
83,Sales,Sales Executive,33,Female,2019-03-30,5,72607,2,23,60,97,No,No,22
84,HR,Recruitment Manager,29,Female,2022-12-05,1,70089,5,47,78,64,Yes,Yes,34
85,Operations,Operations Manager,36,Female,2015-12-30,8,102949,3,42,70,58,Yes,No,35
86,Marketing,Marketing Analyst,30,Female,2016-05-07,8,60348,2,37,64,58,Yes,No,46
87,Finance,Financial Analyst,37,Male,2017-01-13,7,70630,4,27,98,87,Yes,No,21
88,Finance,Financial Analyst,55,Female,2017-05-13,7,104120,4,24,60,64,Yes,No,46
89,Operations,Operations Manager,56,Female,2015-06-24,9,50324,3,13,98,75,Yes,No,33
90,HR,HR Generalist,35,Male,2016-03-08,8,81308,2,26,88,92,Yes,No,57
91,IT,Data Scientist,23,Female,2024-01-07,0,115181,5,8,100,59,No,Yes,55
92,Sales,Sales Executive,37,Male,2021-06-23,3,41630,2,46,80,54,Yes,No,57
93,HR,HR Generalist,35,Female,2023-09-29,1,97044,2,27,79,61,No,No,41
94,HR,HR Generalist,48,Female,2019-07-05,5,109953,5,48,89,98,Yes,No,22
95,HR,Recruitment Manager,32,Male,2023-09-12,1,105608,2,44,92,96,Yes,Yes,30
96,IT,Software Engineer,23,Male,2018-10-29,6,113584,2,50,65,77,Yes,No,44
97,Operations,Operations Manager,60,Male,2018-06-25,6,73092,3,29,61,90,Yes,No,37
98,Marketing,Marketing Analyst,51,Male,2021-12-15,2,106510,3,15,85,71,No,No,40
99,Sales,Sales Representative,55,Female,2024-09-06,0,112148,4,7,94,86,No,No,17
100,HR,Recruitment Manager,29,Female,2019-07-03,5,85428,4,8,61,67,Yes,No,58
101,Finance,Financial Analyst,35,Female,2022-06-26,2,90603,3,18,67,86,No,No,30
102,Finance,Financial Analyst,32,Male,2023-03-15,1,83340,1,42,63,86,Yes,No,38
103,Marketing,Digital Marketer,42,Female,2020-11-24,3,92908,5,32,70,50,Yes,No,43
104,IT,Data Scientist,22,Female,2016-03-21,8,73764,5,17,64,85,No,No,26
105,Finance,Financial Analyst,26,Male,2020-05-03,4,115980,1,37,100,100,No,No,32
106,Marketing,Digital Marketer,22,Female,2016-10-12,8,76757,3,39,93,85,No,No,27
107,Operations,Operations Manager,31,Male,2023-02-04,1,107022,2,47,96,74,No,No,17
108,Finance,Financial Analyst,36,Male,2024-10-21,0,87477,5,15,72,90,No,No,46
109,Sales,Sales Executive,58,Male,2020-07-10,4,75975,2,31,64,86,No,No,60
110,HR,HR Generalist,34,Male,2018-01-21,6,97736,1,32,100,75,No,No,37
111,Finance,Financial Analyst,27,Female,2018-12-15,5,43949,4,5,76,62,No,No,55
112,Operations,Operations Manager,24,Female,2015-02-04,9,86475,5,13,96,95,No,No,16
113,HR,Recruitment Manager,55,Male,2019-06-07,5,45450,1,41,82,73,Yes,Yes,60
114,Sales,Sales Representative,24,Female,2016-10-23,8,43327,3,30,68,98,No,No,24
115,Finance,Financial Analyst,47,Female,2018-07-27,6,107042,1,15,68,58,No,No,60
116,Operations,Operations Manager,55,Male,2021-02-23,3,112737,4,16,82,87,Yes,Yes,26
117,Marketing,Marketing Analyst,38,Female,2017-09-20,7,73276,3,38,89,59,No,No,17
118,Operations,Operations Manager,54,Male,2020-06-23,4,81429,1,17,89,89,Yes,No,48
119,IT,Data Scientist,30,Female,2022-01-25,2,112865,1,39,65,83,No,Yes,20
120,Sales,Sales Representative,60,Female,2015-11-17,8,114746,4,26,84,82,No,No,55
121,Sales,Sales Executive,42,Male,2016-07-13,8,63933,2,6,81,88,Yes,Yes,56
122,Sales,Sales Representative,46,Male,2017-04-23,7,118702,2,27,64,76,Yes,No,53
123,Finance,Financial Analyst,41,Female,2018-07-17,6,94031,2,6,89,66,Yes,No,19
124,Marketing,Marketing Analyst,29,Male,2015-08-04,9,85978,1,16,85,89,Yes,No,50
125,Operations,Operations Manager,52,Male,2024-07-31,0,46779,5,30,76,51,Yes,No,20
126,Marketing,Digital Marketer,28,Female,2023-11-28,0,44334,2,38,100,68,Yes,Yes,36
127,IT,Software Engineer,32,Male,2016-01-29,8,60837,2,44,81,51,No,No,55
128,Operations,Operations Manager,24,Male,2015-04-10,9,71495,3,26,70,65,No,No,41
129,HR,Recruitment Manager,58,Male,2016-12-08,7,90660,5,5,70,87,Yes,No,60
130,IT,Software Engineer,23,Male,2018-01-10,6,82378,5,5,62,53,Yes,No,24
131,IT,Data Scientist,23,Female,2024-08-13,0,97181,5,48,81,95,Yes,No,38
132,Finance,Financial Analyst,56,Female,2016-11-08,7,49574,2,31,96,92,No,No,42
133,HR,HR Generalist,52,Female,2021-06-22,3,69495,4,20,90,75,Yes,No,32
134,Finance,Financial Analyst,56,Male,2016-05-17,8,119171,5,35,75,67,Yes,No,40
135,Operations,Operations Manager,56,Male,2021-02-11,3,58901,4,6,86,96,No,No,21
136,Operations,Operations Manager,60,Female,2016-10-17,8,61152,2,26,90,76,Yes,No,33
137,Finance,Financial Analyst,45,Female,2015-06-10,9,58703,3,35,100,83,Yes,Yes,31
138,IT,Data Scientist,40,Female,2015-03-10,9,45434,3,40,87,52,No,No,28
139,Marketing,Marketing Analyst,30,Male,2018-02-17,6,86787,2,6,87,86,No,No,56
140,Operations,Operations Manager,49,Male,2017-12-19,6,62181,2,18,70,64,Yes,No,46
